Invoice,StockCode,Description,Quantity,InvoiceDate,Price,Customer ID,Country,TotalAmount,Year,Month,Hour,DayOfWeek,DayName,TimeOfDay,Country_Encoded
489434,85048,15CM CHRISTMAS GLASS BALL 20 LIGHTS,12,2009-12-01 07:45:00,6.95,13085.0,United Kingdom,83.4,2009,12,7,1,Tuesday,Morning,38
489434,79323P,PINK CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom,81.0,2009,12,7,1,Tuesday,Morning,38
489434,79323W, WHITE CHERRY LIGHTS,12,2009-12-01 07:45:00,6.75,13085.0,United Kingdom,81.0,2009,12,7,1,Tuesday,Morning,38
489434,22041,"RECORD FRAME 7"" SINGLE SIZE ",48,2009-12-01 07:45:00,2.1,13085.0,United Kingdom,100.8,2009,12,7,1,Tuesday,Morning,38
489434,21232,STRAWBERRY CERAMIC TRINKET BOX,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom,30.0,2009,12,7,1,Tuesday,Morning,38
489434,22064,PINK DOUGHNUT TRINKET POT ,24,2009-12-01 07:45:00,1.65,13085.0,United Kingdom,39.6,2009,12,7,1,Tuesday,Morning,38
489434,21871,SAVE THE PLANET MUG,24,2009-12-01 07:45:00,1.25,13085.0,United Kingdom,30.0,2009,12,7,1,Tuesday,Morning,38
489434,21523,FANCY FONT HOME SWEET HOME DOORMAT,10,2009-12-01 07:45:00,5.95,13085.0,United Kingdom,59.5,2009,12,7,1,Tuesday,Morning,38
489435,22350,CAT BOWL ,12,2009-12-01 07:46:00,2.55,13085.0,United Kingdom,30.6,2009,12,7,1,Tuesday,Morning,38
489435,22349,"DOG BOWL , CHASING BALL DESIGN",12,2009-12-01 07:46:00,3.75,13085.0,United Kingdom,45.0,2009,12,7,1,Tuesday,Morning,38
489435,22195,HEART MEASURING SPOONS LARGE,24,2009-12-01 07:46:00,1.65,13085.0,United Kingdom,39.6,2009,12,7,1,Tuesday,Morning,38
489435,22353,LUNCHBOX WITH CUTLERY FAIRY CAKES ,12,2009-12-01 07:46:00,2.55,13085.0,United Kingdom,30.6,2009,12,7,1,Tuesday,Morning,38
489436,48173C,DOOR MAT BLACK FLOCK ,10,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,59.5,2009,12,9,1,Tuesday,Morning,38
489436,21755,LOVE BUILDING BLOCK WORD,18,2009-12-01 09:06:00,5.45,13078.0,United Kingdom,98.1,2009,12,9,1,Tuesday,Morning,38
489436,21754,HOME BUILDING BLOCK WORD,3,2009-12-01 09:06:00,5.95,13078.0,United Kingdom,17.85,2009,12,9,1,Tuesday,Morning,38
489436,84879,ASSORTED COLOUR BIRD ORNAMENT,16,2009-12-01 09:06:00,1.69,13078.0,United Kingdom,27.04,2009,12,9,1,Tuesday,Morning,38
489436,22119, PEACE WOODEN BLOCK LETTERS,3,2009-12-01 09:06:00,6.95,13078.0,United Kingdom,20.85,2009,12,9,1,Tuesday,Morning,38
489436,22142,CHRISTMAS CRAFT WHITE FAIRY ,12,2009-12-01 09:06:00,1.45,13078.0,United Kingdom,17.4,2009,12,9,1,Tuesday,Morning,38
489436,22296,HEART IVORY TRELLIS LARGE,12,2009-12-01 09:06:00,1.65,13078.0,United Kingdom,19.8,2009,12,9,1,Tuesday,Morning,38
489436,22295,HEART FILIGREE DOVE LARGE,12,2009-12-01 09:06:00,1.65,13078.0,United Kingdom,19.8,2009,12,9,1,Tuesday,Morning,38
489436,22109,FULL ENGLISH BREAKFAST PLATE,16,2009-12-01 09:06:00,3.39,13078.0,United Kingdom,54.24,2009,12,9,1,Tuesday,Morning,38
489436,22107,PIZZA PLATE IN BOX,4,2009-12-01 09:06:00,3.75,13078.0,United Kingdom,15.0,2009,12,9,1,Tuesday,Morning,38
489436,22194,BLACK DINER WALL CLOCK,2,2009-12-01 09:06:00,8.5,13078.0,United Kingdom,17.0,2009,12,9,1,Tuesday,Morning,38
489436,35004B,SET OF 3 BLACK FLYING DUCKS,12,2009-12-01 09:06:00,4.65,13078.0,United Kingdom,55.8,2009,12,9,1,Tuesday,Morning,38
489436,82582,AREA PATROLLED METAL SIGN,12,2009-12-01 09:06:00,2.1,13078.0,United Kingdom,25.200000000000003,2009,12,9,1,Tuesday,Morning,38
489436,21181,PLEASE ONE PERSON  METAL SIGN,12,2009-12-01 09:06:00,2.1,13078.0,United Kingdom,25.200000000000003,2009,12,9,1,Tuesday,Morning,38
